Pincode,City Name,State,Top City,Delivery Fees ,Delivery Fees > 500 Rs ,Delivery Fees > 1000 Rs ,Order and packing fees ,Delivery Time,Servicable ,Prescriptions,Cart Orders ,Whatsapp Tap,COD,Online
743387,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743383,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700150,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743395,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743376,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743502,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700103,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700138,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743377,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743363,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743312,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700140,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700151,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700104,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700139,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743609,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743332,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743347,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743348,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743351,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743355,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743356,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743357,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743374,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743371,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743373,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743368,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743613,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743345,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700149,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700135,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743375,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700144,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
743331,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700147,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700148,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700070,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700084,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700146,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700142,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700153,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700093,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700143,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
700096,24 Paraganas South,West Bengal,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504323,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504311,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504312,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504304,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504002,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504307,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504308,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504309,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504346,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
504001,Adilabad,Telangana,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
465441,Agar Malwa,Madhya Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
465230,Agar Malwa,Madhya Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
465445,Agar Malwa,Madhya Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
465550,Agar Malwa,Madhya Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
465449,Agar Malwa,Madhya Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
465447,Agar Malwa,Madhya Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
282001,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283104,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283201,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283113,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
282005,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283202,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283111,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283114,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283126,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
283123,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
282007,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
282006,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
282009,Agra,Uttar Pradesh,No,49,24,0,9,6-7 days,Yes,8920924624,8920924624,8920924624,No,Yes
