S No ,Medicine name,Salt Code,Salt name,Product ID,Product ID to be shown as Alternative,Note if same,Image link,Brand,MRP,Selling price,Discount,MRP of cheapest ,Savings ,Cheapest,Buy now button URL,Prescription required,Top Selling,Category,Sub Category,Packaging,Description,Storage,Side Effects,Precautions,Brand Code,Manufacturer address,Marketed by,Intro,Uses,Directions,Conten 4,Conten 5,Conten 6
153555,Recofast Orange 1.2/0.6 MG Lozenges 10,4,"2,4-DICHLOROBENZYL ALCOHOL (1.2 MG) + AMYLMETACRESOL (0.6 MG)",A153555,A153548,,https://url.mcro.site/cache/plugins/filepreviewer/22235/8cd99ab740a9b3ab8cea9f372c47dd68a185aaaeb48bf27fc9825701dca3cce4/280x280_middle.jpg,Shreya Life Sciences Pvt. Ltd,46.95,37.56,20%,9.45,80%,No,Hi. Look Recofast Orange 1.2/0.6 MG Lozenges 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,193,,Shreya Life Sciences Pvt. Ltd,,,,d,e,f
121525,Cofsils Medicated Cough Syrup 100 ML,4,"2,4-DICHLOROBENZYL ALCOHOL (1.2 MG) + AMYLMETACRESOL (0.6 MG)",A121525,A153548,,https://url.mcro.site/cache/plugins/filepreviewer/10351/5f6c173e995962d77d74708eafdbffabeacac7b459a00cdf176ac17f862885ba/280x280_middle.jpg,Cipla Ltd.,90,45,50%,9.45,90%,No,Hi. Look Cofsils Medicated Cough Syrup 100 ML is available at 50% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,384,,Cipla Ltd.,,,,d,e,f
146007,Nirvalyte Gel 30 ML,5,4 N BUTYLRESORCINOL (0.33 %) + ALOE VERA (5 %) + GLYCOLIC ACID (6 %) + VITAMIN B3 / NIACIN (4 %),A146007,A146007,This is already the recommended alternative,,Nemus Pharmaceuticals Pvt Ltd,575,460,20%,460,20%,Yes,Hi. Look Nirvalyte Gel 30 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,862,,Nemus Pharmaceuticals Pvt Ltd,,,,d,e,f
148943,Otogesic Ear Drops 10 ML,6,4-CARBOXYMETHYLAMINO-4-AMINODIPHENYL SULPHONE (0.84 %) + DIBUCAINE (1.1 %) + DIHYDROXY METHYL CARBAMIDE (0.42 %),A148943,A148943,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/20527/677c182332efee5ba8f34cec364902dfe5bde30ecc2d40ad918d41c13ec51482/280x280_middle.jpg,Eris Lifesciences Ltd,181.37,145.1,20%,145.1,20%,Yes,Hi. Look Otogesic Ear Drops 10 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,51,,Eris Lifesciences Ltd,,,,d,e,f
154024,Renofol Plus Tablet 10,7,5-METHYLTETRAHYDROFOLIC ACID (2.8 MG) + METHYLCOBALAMIN (2000 MCG) + PYRIDOXAL 5 PHOSPHATE (25 MG),A154024,A154024,This is already the recommended alternative,,Wander Medicare Pvt.ltd,179,143.2,20%,143.2,20%,Yes,Hi. Look Renofol Plus Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1262,,Wander Medicare Pvt.ltd,,,,d,e,f
152381,Q4lic Tablet 10,8,5-METHYLTETRAHYDROFOLIC ACID (295 MCG),A152381,A152381,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/21873/837a6fce360631ca9245b8c55fd23c3663f59f1a1662324bbd0b67c660f865e8/280x280_middle.jpg,La Renon,165,132,20%,132,20%,Yes,Hi. Look Q4lic Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,715,,La Renon,,,,d,e,f
145573,Nexfolin Tablet 10,9,5-METHYLTETRAHYDROFOLIC ACID (5.6 MG) + ACETYLCYSTEINE (600 MG) + METHYLCOBALAMIN (2 MG),A145573,A145573,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/19299/f66a9beeda681312d1e35482c852b15ba40c327b5da632f661366897d34ade76/280x280_middle.jpg,Intas Pharmaceuticals Ltd,245,196,20%,196,20%,Yes,Hi. Look Nexfolin Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,653,,Intas Pharmaceuticals Ltd,,,,d,e,f
162079,Trafolic Tablet 10,10,5-METHYLTETRAHYDROFOLIC ACID (527.25 MCG) + CYANOCOBALAMIN / VITAMIN B12 (2.75 MCG) + GLYCINE (10 MG) + VITAMIN B6 (PYRIDOXINE) (2.3 MG),A162079,A162079,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/25731/aa93b6c8a01e29ab7747e215847965529e042d5f056f882497057a6c85a6c654/280x280_middle.jpg,Sun Pharma Laboratories Ltd.,172,137.6,20%,137.6,20%,Yes,Hi. Look Trafolic Tablet 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1136,"SUN HOUSE CTS No. 21, 21, Western Express Hwy, Ram Nagar, Goregaon, Mumbai, Maharashtra 463",Sun Pharma Laboratories Ltd.,,,,d,e,f
100076,A Bec 300 MG Tablet 30,11,ABACAVIR (300 MG),A100076,A100076,This is already the recommended alternative,,Emcure Pharmaceuticals Ltd,1456.22,1164.98,20%,1164.98,20%,Yes,Hi. Look A Bec 300 MG Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,498,"Emcure House, T 184, M.I.D.C. Bhosari, Pune 41126",Emcure Pharmaceuticals Ltd,,,,d,e,f
103139,Albavir Ped 60/30 MG Tablet 60,12,ABACAVIR (60 MG) + LAMIVUDINE (30 MG),A103139,A103139,This is already the recommended alternative,,Mylan,1400,1120,20%,1120,20%,Yes,Hi. Look Albavir Ped 60/30 MG Tablet 60 is available at 20% discount on DavaDekho.com,Yes,Yes,NA,NA,4 units in a pack,,,,,853,,Mylan,,,,d,e,f
103140,Albavir Tablet 30,13,ABACAVIR (600 MG) + LAMIVUDINE (300 MG),A103140,A103140,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/6837/f7039bde8a0eefe8d9fa2e38fe375700a049490ea7596b8ba79820974fb9812f/280x280_middle.jpg,Mylan,1486,1188.8,20%,1188.8,20%,Yes,Hi. Look Albavir Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,853,,Mylan,,,,d,e,f
100218,Abec L Tablet 30,13,ABACAVIR (600 MG) + LAMIVUDINE (300 MG),A100218,A103140,,,Emcure Pharmaceuticals Ltd,3069.18,1606.8,48%,1188.8,61%,No,Hi. Look Abec L Tablet 30 is available at 48% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,498,"Emcure House, T 184, M.I.D.C. Bhosari, Pune 41126",Emcure Pharmaceuticals Ltd,,,,d,e,f
100077,A Bec L 600/300 MG Tablet 30,13,ABACAVIR (600 MG) + LAMIVUDINE (300 MG),A100077,A103140,,https://url.mcro.site/cache/plugins/filepreviewer/6347/16b7adde98f72489d0d1bc96568b569c72205fcacbfb8b4f045f018169094117/280x280_middle.jpg,Emcure Pharmaceuticals Ltd,2167.2,1733.76,20%,1188.8,45%,No,Hi. Look A Bec L 600/300 MG Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,498,,Emcure Pharmaceuticals Ltd,,,,d,e,f
100185,Abalam 600/300 MG Tablet 30,13,ABACAVIR (600 MG) + LAMIVUDINE (300 MG),A100185,A103140,,https://url.mcro.site/cache/plugins/filepreviewer/6372/618c74c4f1be5c4df11e7640d9b4e2b2fa864ed0094443dc7d44cded14b6365d/280x280_middle.jpg,Hetero Healthcare Ltd,2167.2,1733.76,20%,1188.8,45%,No,Hi. Look Abalam 600/300 MG Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,612,,Hetero Healthcare Ltd,,,,d,e,f
148602,Orencia 250 MG Injection 1,14,ABATACEPT (250 MG),A148602,A148602,This is already the recommended alternative,,Bms India Pvt. Ltd.,30000,24000,20%,24000,20%,Yes,Hi. Look Orencia 250 MG Injection 1 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,319,,Bms India Pvt. Ltd.,,,,d,e,f
129513,Faximab Plus Filter 10 MG Injection 5 ML,15,ABCIXIMAB (10 MG),A129513,A129513,This is already the recommended alternative,,Lupin Ltd,1.25,1,20%,1,20%,Yes,Hi. Look Faximab Plus Filter 10 MG Injection 5 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,744,,Lupin Ltd,,,,d,e,f
129512,Faximab 10 MG Injection 5 ML,15,ABCIXIMAB (10 MG),A129512,A129513,,,Lupin Ltd,9300,7440,20%,1,100%,No,Hi. Look Faximab 10 MG Injection 5 ML is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,744,"Kalpataru Inspire, 3rd Floor, Off. Western Express Highway, Santacruz (East), Mumbai",Lupin Ltd,,,,d,e,f
154053,Reopro 10 MG Injection 5 ML,15,ABCIXIMAB (10 MG),A154053,A129513,,,Eli Lilly And Company (india) Pvt. Ltd.,22629,18103.2,20%,1,100%,No,Hi. Look Reopro 10 MG Injection 5 ML is available at 20% discount on DavaDekho.com,Yes,Yes,NA,NA,4 units in a pack,,,,,488,,Eli Lilly And Company (india) Pvt. Ltd.,,,,d,e,f
107132,Arjunin Capsule 20,16,ABHRAK BHASMA (15 MG) + BOERHAVIA DIFFUSA (150 MG) + HEMEJ TERMINALIA CHEBULA (60 MG) + JAHAR MOHRA PISHTI (30 MG) + SUDH SHILAJEET (BLACK BITUMEN PURIFIED) (30 MG),A107132,A107132,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/7632/7922db9a29a2ba561c1346f1213fff304a5a16020906e952caa93042664b2a27/280x280_middle.jpg,Charak Pharma Pvt Ltd,140,112,20%,112,20%,Yes,Hi. Look Arjunin Capsule 20 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,373,,Charak Pharma Pvt Ltd,,,,d,e,f
134156,Herbofit Capsule 10,17,ABHRAK BHASMA (5 MG) + AMLA (200 MG) + DHANIYA CORIENDRUM SATIVUM (1 MG) + ROSE HIP EXTRACT (5 MG),A134156,A134156,This is already the recommended alternative,,Shreya Life Sciences Pvt. Ltd,16.22,12.98,20%,12.98,20%,Yes,Hi. Look Herbofit Capsule 10 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,193,,Shreya Life Sciences Pvt. Ltd,,,,d,e,f
154450,Rhumayog Gold Tablet 30,18,ABHRAK BHASMA (5 MG) + BANG BHASMA (5 MG) + LAUHA BHASMA (5 MG) + MAHARASNADI QUATH (235 MG) + MAKSHIK BHASMA (5 MG) + MANDURA BHASMA (5 MG) + NAG BHASMA ( SNAKE BHASMA ) (5 MG) + RASA SINDUR (5 MG) + SVARNA BHASMA (1 MG) + YOGRAJ GUGGUL (30 MG),A154450,A154450,This is already the recommended alternative,https://url.mcro.site/cache/plugins/filepreviewer/22549/5c439ad058e24fbe5042890f7148ef54c71ebda03b2999d4ae73273ad3b3b946/280x280_middle.jpg,Zandu Pharmaceuticals Works Ltd,625,500,20%,500,20%,Yes,Hi. Look Rhumayog Gold Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Rhumayog Gold Tablet 3 Works
 
Suvarna Bhasma, Yograj Guggul, Maharasnadi quath, Bang Bhasma, Nag Bhasma, Loh Bhasma, and many other natural herbs are found in Rhumayog Gold Tablet. Suvarna Bhasma contains gold in a micro-pulverized form, which collects synovial cells from inflamed joints and facilitates immonumodulatory activity.",,"Side effects of Rhumayog Gold Tablet 3
 
The majority of side effects are minor and will go away as your body adjusts to Rhumayog Tablet. If they don't go away or you're concerned about them, see your doctor.
Adverse Effects of Rhumayog Gold Tablet
Constipation,
Increased blood calcium levels,
Increased calcium levels in urine,
Vomiting,
Nausea",,1283,"No. 7, Gokhale Rd, Dadar West, Dadar, Mumbai, Maharashtra 428",Zandu Pharmaceuticals Works Ltd,"About Rhumayog Gold Tablet 3
 
By reducing PG production in the body, Rhumayog Gold Tablet cures rheumatoid arthritis that is fast developing.
Rhumayog Gold Tablet can be consumed with or without food. It should be taken according to your doctor's instructions for dosage and duration. It is recommended that you take this drug at a certain time each day. It is not suggested that you take more than the recommended dose of this medicine.","Uses of Rhumayog Gold Tablet 3
 
Rhumayog Gold Tablet is used for the treatment of rheumatoid arthirits","Directions to use Rhumayog Gold Tablet 3
 
Follow your doctor's instructions on the dosage and duration of Rhumayog Gold Tablet. Take it all in at once. It should not be chewed, crushed, or broken. Rhumayog Gold Tablet should be consumed after food.",d,e,f
144345,Myron Tablet 100,19,ABHRAK BHASMA (7.5 MG) + ADHATODA VASIKA (VASAKA) (7.5 MG) + BANG BHASMA (7.5 MG) + BERBERIS ARISTATA (7.5 MG) + DHATKI (15 MG) + GUGGUL EXTRACT (30 MG) + HIRABOL (75 MG) + KASIS BHASMA (15 MG) + SHILAJIT (15 MG) + SYMPLOCOS RACEMOSA (15 MG),A144345,A144345,This is already the recommended alternative,,Alarsin Pharmaceuticals,150,120,20%,120,20%,Yes,Hi. Look Myron Tablet 100 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,8,,Alarsin Pharmaceuticals,,,,d,e,f
100191,Abatitor 250 MG Tablet 30,20,ABIRATERONE ACETATE (250 MG),A100191,A100191,This is already the recommended alternative,,Torrent Pharmaceuticals Ltd.,9975,7980,20%,7980,20%,Yes,Hi. Look Abatitor 250 MG Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,119,,Torrent Pharmaceuticals Ltd.,,,,d,e,f
166760,Zelgor 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A166760,A100191,,https://url.mcro.site/cache/plugins/filepreviewer/27395/063ea6067884adf9aabccdec08518add181b419afc38d179cb87e61180f03c6a/280x280_middle.jpg,Sun Pharma Laboratories Ltd.,13000,11830,9%,7980,39%,No,Hi. Look Zelgor 250 MG Tablet 120 is available at 9% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,1136,,Sun Pharma Laboratories Ltd.,,,,d,e,f
100428,Abura 250 MG Tablet 30,20,ABIRATERONE ACETATE (250 MG),A100428,A100191,,,Msn Laboratories Ltd,15178.6,12142.88,20%,7980,47%,No,Hi. Look Abura 250 MG Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,852,,Msn Laboratories Ltd,,,,d,e,f
100298,Abitate 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A100298,A100191,,,Rpg Life Sciences Ltd.,15600,12480,20%,7980,49%,No,Hi. Look Abitate 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,138,"RPG House, 463, Dr. Annie Besant Road, Worli, Mumbai 43",Rpg Life Sciences Ltd.,,,,d,e,f
106918,Arbitus 250 MG Tablet 40,20,ABIRATERONE ACETATE (250 MG),A106918,A100191,,,Dr. Reddys Laboratories Ltd,15684.72,12547.78,20%,7980,49%,No,Hi. Look Arbitus 250 MG Tablet 40 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,462,,Dr. Reddys Laboratories Ltd,,,,d,e,f
100427,Abura 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A100427,A100191,,,Msn Laboratories Ltd,17000,13600,20%,7980,53%,No,Hi. Look Abura 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,852,,Msn Laboratories Ltd,,,,d,e,f
166021,Xbira 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A166021,A100191,,,Cipla Ltd.,19500,15600,20%,7980,59%,No,Hi. Look Xbira 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,"How Xbira 25 MG Tablet 12 Works
 
Xbira 25mg Tablet is an anticancer drug. It works by suppressing the generation of androgen (male hormone) in men. This is accomplished by blocking CYP17, an enzyme involved in the synthesis of androgen. This is how prostate cancer progresses is slowed.",,"Side effects of Xbira 25 MG Tablet 12
 
The majority of side effects are minor and will go away as your body adjusts to Xbira 25mg Tablet. If they don't go away or you're concerned about them, see your doctor.
Adverse effects of Xbira 25mg Tablet
Edema (swelling),
Vomiting,
Decreased potassium level in blood,
Decreased white blood cell count,
Fatigue,
Increased liver enzymes,
Anemia (low number of red blood cells),
Urinary tract infection,
Diarrhea,
High blood pressure,
Cough,
Hypercholesterolemia (high cholesterol),
Joint swelling,
Increased levels of blood fat,
Altered blood sugar level",,384,"Cipla House, Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai-413",Cipla Ltd.,"About Xbira 25 MG Tablet 12
 
Xbira 25mg Tablet is used to treat prostate cancer. It could also be used to treat other problems if the doctor thinks It is necessary. It is sometimes combined with other drugs as part of a chemotherapy treatment plan.
Xbira 25mg Tablet should not be consumed before food. It may induce negative effects if taken with food. Your doctor will determine the appropriate dose and frequency of administration. This will vary depending on the reason you're being treated and may change over time. You should follow your doctor's instructions to the letter. It can have potentially dangerous negative effects if taken incorrectly or in excess. You may not notice or feel the advantages for several weeks or months, but do not stop taking it until your doctor tells you to.","Uses of Xbira 25 MG Tablet 12
 
Xbira 25mg Tablet is used in treatment of Prostate cancer","Directions to use Xbira 25 MG Tablet 12
 
Follow your doctor's instructions on the dosage and duration of Xbira 25mg Tablet. Take it all in at once. It should not be chewed, crushed, or broken. Xbira 25mg Tablet should be taken without food.",d,e,f
100289,Abiratas 250 MG Tablet 30,20,ABIRATERONE ACETATE (250 MG),A100289,A100191,,,Intas Pharmaceuticals Ltd,24750,19800,20%,7980,68%,No,Hi. Look Abiratas 250 MG Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,653,"Corporate House, Near Sola Bridge, S. G. Highway, Thaltej, Ahmedabad 3854, Gujarat, India",Intas Pharmaceuticals Ltd,,,,d,e,f
106919,Arbitus 250 MG Tablet 80,20,ABIRATERONE ACETATE (250 MG),A106919,A100191,,,Dr. Reddys Laboratories Ltd,26602.92,21282.34,20%,7980,70%,No,Hi. Look Arbitus 250 MG Tablet 80 is available at 20% discount on DavaDekho.com,Yes,Yes,NA,NA,4 units in a pack,,,,,462,"Bigshare Services Pvt. Ltd. 36, Right Wing, 3rd Floor Amrutha Ville, Opp.Yash Hyderabad - 582 Telangana",Dr. Reddys Laboratories Ltd,,,,d,e,f
100286,Abirapro 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A100286,A100191,,https://url.mcro.site/cache/plugins/filepreviewer/6394/0d15f7965190b5252aa29b29c6b3ad94a2c31a23412340cbc8ed0cc1f4fef86d/280x280_middle.jpg,Glenmark Pharmaceuticals Ltd.,28000,22400,20%,7980,72%,No,Hi. Look Abirapro 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,571,,Glenmark Pharmaceuticals Ltd.,,,,d,e,f
111480,Bdron 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A111480,A100191,,,Bdr Pharmaceuticals Internationals Pvt. Ltd,28440,22752,20%,7980,72%,No,Hi. Look Bdron 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,258,,Bdr Pharmaceuticals Internationals Pvt. Ltd,,,,d,e,f
166667,Zecyte 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A166667,A100191,,,Cipla Ltd.,28500,22800,20%,7980,72%,No,Hi. Look Zecyte 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,384,,Cipla Ltd.,,,,d,e,f
100410,Abstet 250 MG Tablet 30,20,ABIRATERONE ACETATE (250 MG),A100410,A100191,,,Biocon Ltd,29400,23520,20%,7980,73%,No,Hi. Look Abstet 250 MG Tablet 30 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,285,,Biocon Ltd,,,,d,e,f
100376,Abretone 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A100376,A100191,,,Cadila Pharmaceuticals Ltd,29565,23652,20%,7980,73%,No,Hi. Look Abretone 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,342,"5V74+4P2, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 463",Cadila Pharmaceuticals Ltd,,,,d,e,f
156027,Samtica 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A156027,A100191,,,Samarth Life Sciences Pvt Ltd,29700,23760,20%,7980,73%,No,Hi. Look Samtica 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,155,"Opp. Moviestar, Ram Mandir, Gulmohar Road, Goregaon West, Mumbai, Maharashtra 414",Samarth Life Sciences Pvt Ltd,,,,d,e,f
100299,Abitate U 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A100299,A100191,,,Rpg Life Sciences Ltd.,30000,24000,20%,7980,73%,No,Hi. Look Abitate U 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,138,,Rpg Life Sciences Ltd.,,,,d,e,f
102922,Ahabir 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A102922,A100191,,,Hetero Healthcare Ltd,30000,24000,20%,7980,73%,No,Hi. Look Ahabir 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,612,,Hetero Healthcare Ltd,,,,d,e,f
100279,Abione 250 MG Tablet 120,20,ABIRATERONE ACETATE (250 MG),A100279,A100191,,,Intas Pharmaceuticals Ltd,30193,24154.4,20%,7980,74%,No,Hi. Look Abione 250 MG Tablet 120 is available at 20% discount on DavaDekho.com,Yes,No,NA,NA,4 units in a pack,,,,,653,,Intas Pharmaceuticals Ltd,,,,d,e,f
